Instance,Heuristic,HeuristicObjVal,RefConfig,RefModelObjVal,RefLB,GapToModelRefConfig,GapToLBRefConfig
r_15_30_30_30_1.txt,lns,323.2123723720072,VI1+VI4,323.21237237200717,323.21237237200717,1.758701823313343e-16,1.758701823313343e-16
r_15_30_30_30_1.txt,ils,324.2410541052608,VI1+VI4,323.21237237200717,323.21237237200717,0.00318268055676297,0.00318268055676297
r_15_30_30_30_10.txt,lns,267.6485023786281,VI1+VI4,267.6485023786281,265.23117554481377,0.0,0.00911403732554776
r_15_30_30_30_10.txt,ils,267.6485023786281,VI1+VI4,267.6485023786281,265.23117554481377,0.0,0.00911403732554776
r_15_30_30_30_2.txt,lns,307.0630782040612,VI1+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_30_2.txt,ils,307.0630782040612,VI1+VI4,307.0630782040612,307.0630782040612,0.0,0.0
r_15_30_30_30_3.txt,lns,300.29175352947766,VI1+VI4,300.29175352947766,298.0270962142024,0.0,0.007598830254171152
r_15_30_30_30_3.txt,ils,300.29175352947766,VI1+VI4,300.29175352947766,298.0270962142024,0.0,0.007598830254171152
r_15_30_30_30_4.txt,lns,289.87912192614965,VI1+VI4,289.87912192614965,287.83537222996597,0.0,0.00710041187901961
r_15_30_30_30_4.txt,ils,289.87912192614965,VI1+VI4,289.87912192614965,287.83537222996597,0.0,0.00710041187901961
r_15_30_30_30_5.txt,lns,347.78851166394605,VI1+VI4,347.7885116639461,347.7885116639461,-1.6344248574758415e-16,-1.6344248574758415e-16
r_15_30_30_30_5.txt,ils,347.78851166394605,VI1+VI4,347.7885116639461,347.7885116639461,-1.6344248574758415e-16,-1.6344248574758415e-16
r_15_30_30_30_6.txt,lns,315.9647784226684,VI1+VI4,315.9647784226685,314.6466528619614,-1.7990428915709124e-16,0.004189224797777499
r_15_30_30_30_6.txt,ils,315.96477842266836,VI1+VI4,315.9647784226685,314.6466528619614,-3.598085783141825e-16,0.004189224797777318
r_15_30_30_30_7.txt,lns,303.3062311398146,VI1+VI4,303.3062311398146,302.0213872574195,0.0,0.004254148668286128
